,Experiment,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash,R1,R2,project,condition,reference_condition,strain_description,base_media,carbon_source,nitrogen_source,aerobicity,treatment,temperature,pH,OD,growth_phase,culture_type,skip
ERR2601591,ERX2618247,5502820,415701787,0,75,165,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR002/601/ERR2601591/ERR2601591.sralite.1,Sample 2_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517230,SAMEA4697056,simple,1718,Corynebacterium glutamicum,SAMEA4697056,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,86C86143B3CE71741DDBF5132175ECB8,E54567A74B7B5287F33D2843FF8698C8,,,prophage-induced-subpopulations,unsorted_1_0uM_S1_L001_R2,unsorted_1_0uM_S1_L001_R2,ATCC13032,,,,,,,,,,,
ERR2601592,ERX2618248,4838002,365492408,0,75,131,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR002/601/ERR2601592/ERR2601592.sralite.1,Sample 5_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517231,SAMEA4697057,simple,1718,Corynebacterium glutamicum,SAMEA4697057,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,310F7CBF82682F8F37C8C80F7FB5CD6C,82D8D7B9FE3C9E3E86EA36F3E785A0B0,,,prophage-induced-subpopulations,unsorted_2-0uM_S1_L001_R1,unsorted_2-0uM_S1_L001_R1,ATCC13032,,,,,,,,,,,
ERR2601593,ERX2618249,4838002,365432167,0,75,134,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR002/601/ERR2601593/ERR2601593.sralite.1,Sample 6_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517232,SAMEA4697058,simple,1718,Corynebacterium glutamicum,SAMEA4697058,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,1AA044996B0DE2860C4FEDA28A6D708B,0C7D8C15B0E59E8C642F6A223BF58ED9,,,prophage-induced-subpopulations,unsorted_2-0uM_S1_L001_R2,unsorted_2-0uM_S1_L001_R2,ATCC13032,,,,,,,,,,,
ERR2601595,ERX2618251,5366074,404813902,0,75,151,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR002/2601/ERR2601595/ERR2601595.lite.2,Sample 10_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517234,SAMEA4697060,simple,1718,Corynebacterium glutamicum,SAMEA4697060,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,D890C848444E0BF32ABF946A5C53A426,BC209AB3A5FAC007CE866A42C9A05515,,,prophage-induced-subpopulations,unsorted_3-0uM_S2_L001_R2,unsorted_3-0uM_S2_L001_R2,ATCC13032,,,,,,,,,,,
ERR2601596,ERX2618252,5454595,411836156,0,75,156,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR002/601/ERR2601596/ERR2601596.sralite.1,Sample 3_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517235,SAMEA4697061,simple,1718,Corynebacterium glutamicum,SAMEA4697061,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,5F666F42254494C697AFF05495B9CAD0,ED373C1786E0E0650C695FC12FD49948,,,prophage-induced-subpopulations,unsorted_1-150uM_S2_L001_R1,unsorted_1-150uM_S2_L001_R1,ATCC13032,,,,,,,,,,,
ERR2601597,ERX2618253,5454595,411687100,0,75,161,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/ERR002/2601/ERR2601597/ERR2601597.lite.2,Sample 4_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517236,SAMEA4697062,simple,1718,Corynebacterium glutamicum,SAMEA4697062,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,9913086731DF4CE557D545836A7FE5A2,BB634C51ADC50C1833B61A1924CDE13A,,,prophage-induced-subpopulations,unsorted_1-150uM_S2_L001_R2,unsorted_1-150uM_S2_L001_R2,ATCC13032,,,,,,,,,,,
ERR2601598,ERX2618254,7313058,551816450,0,75,199,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR002/601/ERR2601598/ERR2601598.sralite.1,Sample 7_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517237,SAMEA4697063,simple,1718,Corynebacterium glutamicum,SAMEA4697063,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,27436A7C634E01522B505C656B71D20F,E9231BE088916804CFABB21A9D77E0FD,,,prophage-induced-subpopulations,unsorted_2-150uM_S3_L001_R1,unsorted_2-150uM_S3_L001_R1,ATCC13032,,,,,,,,,,,
ERR2601599,ERX2618255,7313058,551632751,0,75,201,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR002/601/ERR2601599/ERR2601599.sralite.1,Sample 8_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517238,SAMEA4697064,simple,1718,Corynebacterium glutamicum,SAMEA4697064,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,BAEC8FD6B758E18C232B70386BD7E79A,BB985C339ACAE23DBEF0FFA581EAD5EE,,,prophage-induced-subpopulations,unsorted_2-150uM_S3_L001_R2,unsorted_2-150uM_S3_L001_R2,ATCC13032,,,,,,,,,,,
ERR2601600,ERX2618256,3925426,296356193,0,75,107,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR002/2601/ERR2601600/ERR2601600.lite.2,Sample 11_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517239,SAMEA4697065,simple,1718,Corynebacterium glutamicum,SAMEA4697065,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,FAC2FB0E4699FAAB39364F906776C8E5,4CB5C531988ABB95EDFD105514E24CEC,,,prophage-induced-subpopulations,unsorted_3-150uM_S4_L001_R1,unsorted_3-150uM_S4_L001_R1,ATCC13032,,,,,,,,,,,
ERR2601601,ERX2618257,3925426,296253078,0,75,112,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR002/601/ERR2601601/ERR2601601.sralite.1,Sample 12_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517240,SAMEA4697066,simple,1718,Corynebacterium glutamicum,SAMEA4697066,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,C6F0CE046B21C813A0D0D7D58A71E116,06FE5FEF68F36626F333C307C6595F21,,,prophage-induced-subpopulations,unsorted_3-150uM_S4_L001_R2,unsorted_3-150uM_S4_L001_R2,ATCC13032,,,,,,,,,,,
ERR2601602,ERX2618258,5366331,403804063,0,75,159,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR002/601/ERR2601602/ERR2601602.sralite.1,Sample 29_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517241,SAMEA4697067,simple,1718,Corynebacterium glutamicum,SAMEA4697067,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,88D8359CC9515347235FA90FEA22761F,9AF1B05C8391E5C7926571A21E17702F,,,prophage-induced-subpopulations,Plys-10_5_neg_S2_L001_R1,Plys-10_5_neg_S2_L001_R1,ATCC13032,,,,,,,,,,,
ERR2601603,ERX2618259,5366331,404569426,0,75,165,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR002/2601/ERR2601603/ERR2601603.lite.2,Sample 30_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517242,SAMEA4697068,simple,1718,Corynebacterium glutamicum,SAMEA4697068,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,1E08DB264BF58E78684082AB38E32BCA,C1C1BC40802820BD5589981D814AA771,,,prophage-induced-subpopulations,Plys-10_5_neg_S2_L001_R2,Plys-10_5_neg_S2_L001_R2,ATCC13032,,,,,,,,,,,
ERR2601604,ERX2618260,3850495,290009049,0,75,108,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR002/601/ERR2601604/ERR2601604.sralite.1,Sample 13_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517243,SAMEA4697069,simple,1718,Corynebacterium glutamicum,SAMEA4697069,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,94901EDE42A3A6A93FA9DC4B249EBE7A,A519746B191DC191442B519B7C1412DB,,,prophage-induced-subpopulations,RNA_Later_neg_plys_1_S2_L001_R1,RNA_Later_neg_plys_1_S2_L001_R1,ATCC13032,,,,,,,,,,,
ERR2601605,ERX2618261,3850495,290043733,0,75,109,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR002/601/ERR2601605/ERR2601605.sralite.1,Sample 14_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517244,SAMEA4697070,simple,1718,Corynebacterium glutamicum,SAMEA4697070,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,8A2AD75CB6B7BF968B6D151BD6DE0303,7643FE9C596AF71ADC8AEB94EE427FFA,,,prophage-induced-subpopulations,RNA_Later_neg_plys_1_S2_L001_R2,RNA_Later_neg_plys_1_S2_L001_R2,ATCC13032,,,,,,,,,,,
ERR2601606,ERX2618262,3460745,261296396,0,75,97,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR002/601/ERR2601606/ERR2601606.sralite.1,Sample 15_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517245,SAMEA4697071,simple,1718,Corynebacterium glutamicum,SAMEA4697071,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,87093F714380C39CB0049112E15B34EA,61AD118BA6F8DCFC094260ACA986D385,,,prophage-induced-subpopulations,RNA_Later_neg_plys_2_S4_L001_R1,RNA_Later_neg_plys_2_S4_L001_R1,ATCC13032,,,,,,,,,,,
ERR2601607,ERX2618263,3460745,261303015,0,75,99,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR002/601/ERR2601607/ERR2601607.sralite.1,Sample 16_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517246,SAMEA4697072,simple,1718,Corynebacterium glutamicum,SAMEA4697072,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,8AF049A0CDC8900F5A7E30FDFB5A2D4D,7A5441DBF70BA9E03C7364E972AD5394,,,prophage-induced-subpopulations,RNA_Later_neg_plys_2_S4_L001_R2,RNA_Later_neg_plys_2_S4_L001_R2,ATCC13032,,,,,,,,,,,
ERR2601608,ERX2618264,7547924,569569002,0,75,220,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR002/2601/ERR2601608/ERR2601608.lite.2,Sample 21_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517247,SAMEA4697073,simple,1718,Corynebacterium glutamicum,SAMEA4697073,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,A492250D171A64C4062CA9194586266C,A3D5D334BD501A1843A05C7225F84B59,,,prophage-induced-subpopulations,RNA_Protect_neg_plys_1_S2_L001_R1,RNA_Protect_neg_plys_1_S2_L001_R1,ATCC13032,,,,,,,,,,,
ERR2601609,ERX2618265,7547924,569846366,0,75,226,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR002/2601/ERR2601609/ERR2601609.lite.2,Sample 22_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517248,SAMEA4697074,simple,1718,Corynebacterium glutamicum,SAMEA4697074,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,55D76A96E37932C83F72C17B9E71C5B6,CAFC8DFB46F3535F6BAAD972CDEAFEF2,,,prophage-induced-subpopulations,RNA_Protect_neg_plys_1_S2_L001_R2,RNA_Protect_neg_plys_1_S2_L001_R2,ATCC13032,,,,,,,,,,,
ERR2601610,ERX2618266,6174074,465980719,0,75,184,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR002/601/ERR2601610/ERR2601610.sralite.1,Sample 23_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517249,SAMEA4697075,simple,1718,Corynebacterium glutamicum,SAMEA4697075,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,215F58B6E981F93D0A25A091E4E22C9A,30F4FEEB2DC4F0DAA9D1433482C6410B,,,prophage-induced-subpopulations,RNA_Protect_neg_plys_2_S4_L001_R1,RNA_Protect_neg_plys_2_S4_L001_R1,ATCC13032,,,,,,,,,,,
ERR2601611,ERX2618267,6174074,466210229,0,75,190,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR002/601/ERR2601611.sralite.1,Sample 24_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517250,SAMEA4697076,simple,1718,Corynebacterium glutamicum,SAMEA4697076,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,CF06E20398B782446E38714E2FBE1ED3,D10FED930A35292A0DA0C92FC0463AAA,,,prophage-induced-subpopulations,RNA_Protect_neg_plys_2_S4_L001_R2,RNA_Protect_neg_plys_2_S4_L001_R2,ATCC13032,,,,,,,,,,,
ERR2601612,ERX2618268,4117161,310024398,0,75,120,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/ERR002/2601/ERR2601612/ERR2601612.lite.2,Sample 31_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517251,SAMEA4697077,simple,1718,Corynebacterium glutamicum,SAMEA4697077,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,126923666C12C3D42C18ED3733EC0AAC,0D01E2678CE8CA2ABAAC73E1E7E76E6C,,,prophage-induced-subpopulations,Plys-10_5_pos_S1_L001_R1,Plys-10_5_pos_S1_L001_R1,ATCC13032,,,,,,,,,,,
ERR2601613,ERX2618269,4117161,310590167,0,75,124,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR002/2601/ERR2601613/ERR2601613.lite.2,Sample 32_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517252,SAMEA4697078,simple,1718,Corynebacterium glutamicum,SAMEA4697078,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,80DE1BB7C4332EB3441A811402EA394B,FF6CFEB2C56FF4E8D08F331FD495827D,,,prophage-induced-subpopulations,Plys-10_5_pos_S1_L001_R2,Plys-10_5_pos_S1_L001_R2,ATCC13032,,,,,,,,,,,
ERR2601614,ERX2618270,5073165,382488063,0,75,140,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR002/601/ERR2601614/ERR2601614.sralite.1,Sample 17_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517253,SAMEA4697079,simple,1718,Corynebacterium glutamicum,SAMEA4697079,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,71060A5F29CC35E6D430ACB26513CE8D,1AC142A82CBEF6EBC769115FBF3219C4,,,prophage-induced-subpopulations,RNA_Later_pos_plys_1_S1_L001_R1,RNA_Later_pos_plys_1_S1_L001_R1,ATCC13032,,,,,,,,,,,
ERR2601615,ERX2618271,5073165,382592554,0,75,141,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR002/601/ERR2601615.sralite.1,Sample 18_s,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP109053,PRJEB27017,,491326,ERS2517254,SAMEA4697080,simple,1718,Corynebacterium glutamicum,SAMEA4697080,,,,,,,no,,,,,"Freiherr v. Boeselager, R",ERA1501938,,public,72DD55510439A7F85BA5E3CD1DF6A2CB,AFC7D34C0CB5BB588EF3AFD152DFEE45,,,prophage-induced-subpopulations,RNA_Later_pos_plys_1_S1_L001_R2,RNA_Later_pos_plys_1_S1_L001_R2,ATCC13032,,,,,,,,,,,
