,imodulon,annotation,pvalue,qvalue,precision,recall,f1score,TP,target_set_size,imodulon_size,source,kegg_id,pathway_name,module_name
7,WA5_RS11920,,9.748346578644205e-14,1.1015631633867952e-11,0.7777777777777778,0.25,0.3783783783783784,7.0,28.0,9.0,,map01220,Degradation of aromatic compounds,
8,WA5_RS11920,,1.1413980510687297e-07,8.598531984717764e-06,0.7777777777777778,0.037037037037037035,0.07070707070707069,7.0,189.0,9.0,,map01120,Microbial metabolism in diverse environments,
9,WA5_RS11920,,2.2165586182324183e-06,0.00012523556193013165,0.3333333333333333,0.3,0.3157894736842105,3.0,10.0,9.0,,map00364,Fluorobenzoate degradation,
10,WA5_RS11920,,7.99733422189622e-06,0.00036147950682970917,0.2222222222222222,1.0,0.3636363636363636,2.0,2.0,9.0,,map00624,Polycyclic aromatic hydrocarbon degradation,
11,WA5_RS11920,,0.00016664126923202156,0.005380132406633839,0.2222222222222222,0.2857142857142857,0.25,2.0,7.0,9.0,,map00361,Chlorocyclohexane and chlorobenzene degradation,
12,WA5_RS11920,,0.00014450469292663322,0.005380132406633839,0.7777777777777778,0.013059701492537313,0.025688073394495414,7.0,536.0,9.0,,map01100,Metabolic pathways,
13,WA5_RS11920,,0.00028478212168018706,0.008045094937465285,0.2222222222222222,0.2222222222222222,0.2222222222222222,2.0,9.0,9.0,,map00623,Toluene degradation,
14,WA5_RS00825,,6.385052468300163e-11,1.4430218578358369e-08,0.7142857142857143,0.29411764705882354,0.4166666666666667,5.0,17.0,7.0,,map00562,Inositol phosphate metabolism,
15,WA5_RS00825,,0.00045919011499589513,0.05188848299453615,0.5714285714285714,0.021164021164021163,0.04081632653061224,4.0,189.0,7.0,,map01120,Microbial metabolism in diverse environments,
16,12,,0.0004403987156012974,0.09953010972589321,0.6666666666666666,0.05405405405405406,0.1,2.0,37.0,3.0,,map02020,Two-component system,
17,19,,0.0006239512398152584,0.09972036336426754,0.11764705882352941,0.2857142857142857,0.16666666666666666,2.0,7.0,17.0,,map00361,Chlorocyclohexane and chlorobenzene degradation,
18,19,,0.0013237216375787727,0.09972036336426754,0.11764705882352941,0.2,0.14814814814814817,2.0,10.0,17.0,,map00364,Fluorobenzoate degradation,
19,19,,0.0010625159849933636,0.09972036336426754,0.11764705882352941,0.2222222222222222,0.15384615384615383,2.0,9.0,17.0,,map00623,Toluene degradation,
20,20,,0.00016545301969896428,0.037392382451965925,0.15789473684210525,0.16666666666666666,0.16216216216216214,3.0,18.0,19.0,,map00730,Thiamine metabolism,
21,WA5_RS04910,,0.00012068126820942318,0.027273966615329638,0.25,0.11538461538461539,0.15789473684210525,3.0,26.0,12.0,,map00190,Oxidative phosphorylation,
22,34,,7.577471335169243e-16,1.712508521748249e-13,0.35,0.2641509433962264,0.30107526881720426,14.0,53.0,40.0,,map03010,Ribosome,
23,WA5_RS14470,,3.809089931742646e-12,8.608543245738381e-10,0.6,0.3333333333333333,0.42857142857142855,6.0,18.0,10.0,,map00220,Arginine biosynthesis,
24,WA5_RS14470,,6.017868488640405e-07,6.800191392163657e-05,0.6,0.05084745762711865,0.09375000000000001,6.0,118.0,10.0,,map01230,Biosynthesis of amino acids,
25,WA5_RS14470,,1.2128039325008556e-05,0.0009136456291506446,0.6,0.030612244897959183,0.058252427184466014,6.0,196.0,10.0,,map01130,,
26,WA5_RS14470,,3.174528799131196e-05,0.0017936087715091256,0.8,0.014925373134328358,0.0293040293040293,8.0,536.0,10.0,,map01100,Metabolic pathways,
27,WA5_RS14470,,5.0893320516173724e-05,0.0019594202486884326,0.6,0.02390438247011952,0.04597701149425287,6.0,251.0,10.0,,map01110,Biosynthesis of secondary metabolites,
28,WA5_RS14470,,5.202000660234777e-05,0.0019594202486884326,0.3,0.125,0.17647058823529413,3.0,24.0,10.0,,map01210,2-Oxocarboxylic acid metabolism,
29,WA5_RS14470,,7.478158973895037e-05,0.0024143770401432547,0.3,0.1111111111111111,0.16216216216216217,3.0,27.0,10.0,,map00250,"Alanine, aspartate and glutamate metabolism",
30,WA5_RS04335,,0.00019211965488912495,0.04341904200494224,0.125,0.2,0.15384615384615385,3.0,15.0,24.0,,map00910,Nitrogen metabolism,
31,WA5_RS06225,,0.00017670520175456776,0.03993537559653231,0.75,0.027777777777777776,0.05357142857142857,3.0,108.0,4.0,,map02010,ABC transporters,
32,WA5_RS09565,,2.4271716911554293e-09,5.48540802201127e-07,0.36666666666666664,0.10185185185185185,0.15942028985507245,11.0,108.0,30.0,,map02010,ABC transporters,
33,WA5_RS00045,,1.489224167235778e-05,0.0033656466179528585,0.3333333333333333,0.16666666666666666,0.2222222222222222,3.0,18.0,9.0,,map00920,Sulfur metabolism,
34,80,,0.0003949131638074391,0.08925037502048125,0.3333333333333333,0.125,0.18181818181818182,2.0,16.0,6.0,,map00350,Tyrosine metabolism,
0,WA5_RS03145,,5.689899083000985e-06,0.0013257464863392296,0.02702702702702703,1.0,0.052631578947368425,4.0,4.0,148.0,,M00176,,"Assimilatory sulfate reduction, sulfate => H2S"
1,WA5_RS03145,,2.929141522897824e-05,0.003412449874175965,0.033783783783783786,0.5555555555555556,0.06369426751592357,5.0,9.0,148.0,,M00207,,
2,WA5_RS03145,,0.00011764356862731137,0.009136983830054516,0.02027027027027027,1.0,0.03973509933774835,3.0,3.0,148.0,,M00238,,
3,WA5_RS03145,,0.00045350457725591443,0.026416641625157014,0.02027027027027027,0.75,0.03947368421052632,3.0,4.0,148.0,,M00551,,"Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol"
4,WA5_RS11920,,6.494186376779092e-07,0.00015131454257895284,0.3333333333333333,0.42857142857142855,0.375,3.0,7.0,9.0,,M00568,,"Catechol ortho-cleavage, catechol => 3-oxoadipate"
5,WA5_RS11355,,7.289387015020793e-07,0.00016984271744998448,0.2727272727272727,0.5,0.3529411764705882,3.0,6.0,11.0,,M00244,,
6,12,,6.664445184913485e-07,0.0001552815728084842,0.6666666666666666,1.0,0.8,2.0,2.0,3.0,,M00479,,
7,19,,3.0212151504941237e-05,0.007039431300651308,0.11764705882352941,1.0,0.21052631578947367,2.0,2.0,17.0,,M00298,,
8,20,,7.416723227078655e-06,0.0017280965119093265,0.15789473684210525,0.42857142857142855,0.23076923076923078,3.0,7.0,19.0,,M00127,,"Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP"
9,23,,0.0004166867129656882,0.09708800412100535,0.05555555555555555,0.6666666666666666,0.10256410256410256,2.0,3.0,36.0,,M00436,,
10,WA5_RS04910,,4.3887560432271034e-05,0.010225801580719151,0.16666666666666666,0.6666666666666666,0.26666666666666666,2.0,3.0,12.0,,M00149,,"Succinate dehydrogenase, prokaryotes"
11,WA5_RS04910,,0.000405085000155414,0.04719240251810573,0.16666666666666666,0.25,0.2,2.0,8.0,12.0,,M00376,,3-Hydroxypropionate bi-cycle
12,WA5_RS04910,,0.0014955942616059177,0.05807891049236314,0.16666666666666666,0.13333333333333333,0.14814814814814814,2.0,15.0,12.0,,M00011,,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"
13,WA5_RS04910,,0.0012990684212935376,0.05807891049236314,0.16666666666666666,0.14285714285714285,0.15384615384615383,2.0,14.0,12.0,,M00173,,Reductive citrate cycle (Arnon-Buchanan cycle)
14,WA5_RS04910,,0.0014955942616059177,0.05807891049236314,0.16666666666666666,0.13333333333333333,0.14814814814814814,2.0,15.0,12.0,,M00254,,
15,WA5_RS04910,,0.0007904091072629246,0.05807891049236314,0.16666666666666666,0.18181818181818182,0.17391304347826086,2.0,11.0,12.0,,M00374,,Dicarboxylate-hydroxybutyrate cycle
16,WA5_RS04910,,0.002676380511567974,0.08908523702790543,0.16666666666666666,0.1,0.125,2.0,20.0,12.0,,M00009,,"Citrate cycle (TCA cycle, Krebs cycle)"
17,34,,7.577471335169243e-16,1.7655508210944335e-13,0.35,0.2641509433962264,0.30107526881720426,14.0,53.0,40.0,,M00178,,
18,34,,3.742303831580603e-14,4.359783963791403e-12,0.275,0.3548387096774194,0.3098591549295775,11.0,31.0,40.0,,M00179,,
19,WA5_RS05330,,2.217039506896205e-05,0.005165702051068158,0.4,0.4,0.4000000000000001,2.0,5.0,5.0,,M00115,,"NAD biosynthesis, aspartate => quinolinate => NAD"
20,WA5_RS14470,,2.6666669629686292e-08,3.106667011858453e-06,0.3,1.0,0.4615384615384615,3.0,3.0,10.0,,M00029,,Urea cycle
21,WA5_RS14470,,2.6666669629686292e-08,3.106667011858453e-06,0.3,1.0,0.4615384615384615,3.0,3.0,10.0,,M00844,,"Arginine biosynthesis, ornithine => arginine"
22,WA5_RS14470,,1.0647988730304144e-07,6.202453435402164e-06,0.3,0.75,0.4285714285714285,3.0,4.0,10.0,,M00028,,"Ornithine biosynthesis, glutamate => ornithine"
23,WA5_RS14470,,1.0647988730304144e-07,6.202453435402164e-06,0.3,0.75,0.4285714285714285,3.0,4.0,10.0,,M00845,,"Arginine biosynthesis, glutamate => acetylcitrulline => arginine"
24,WA5_RS14470,,0.00020806988367898623,0.009696056579440759,0.2,0.2857142857142857,0.23529411764705882,2.0,7.0,10.0,,M00051,,"De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP"
25,WA5_RS04335,,1.5668627152540132e-08,3.6507901265418506e-06,0.16666666666666666,0.8,0.27586206896551724,4.0,5.0,24.0,,M00323,,
26,WA5_RS06225,,3.996889332960795e-06,0.0009312752145798652,0.5,0.6666666666666666,0.5714285714285715,2.0,3.0,4.0,,M00212,,
27,WA5_RS01340,,3.3322225924567395e-06,0.0007764078640424203,0.3333333333333333,1.0,0.5,2.0,2.0,6.0,,M00153,,Cytochrome bd ubiquinol oxidase
28,WA5_RS09565,,3.123169036833171e-15,7.276983855821288e-13,0.36666666666666664,0.3235294117647059,0.34375,11.0,34.0,30.0,,M00240,,
29,WA5_RS00045,,2.3954669328388814e-05,0.0055814379535145935,0.2222222222222222,0.6666666666666666,0.3333333333333333,2.0,3.0,9.0,,M00436,,
30,72,,8.758000558025693e-05,0.020406141300199864,0.16666666666666666,0.5,0.25,2.0,4.0,12.0,,M00176,,"Assimilatory sulfate reduction, sulfate => H2S"
31,73,,6.220148839252591e-06,0.0014492946795458537,0.25,1.0,0.4,2.0,2.0,8.0,,M00021,,"Cysteine biosynthesis, serine => cysteine"
