Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Genes in same transcription unit	Accession-1
WA5_RS05575	WA5_RS05575	1164970	1165611	O-methyltransferase	WA5_RS05575	WA5_RS05575
WA5_RS04035	WA5_RS04035	848495	849322	siderophore-interacting protein	WA5_RS04040 // WA5_RS04035	WA5_RS04040 // WA5_RS04035
WA5_RS09105	WA5_RS09105	1940256	1940846	hypothetical protein	WA5_RS09105	WA5_RS09105
thiM	WA5_RS07315	1542115	1542921	hydroxyethylthiazole kinase	thiM // WA5_RS07310	thiM // WA5_RS07310
mraZ	WA5_RS10775	2295373	2295804	division/cell wall cluster transcriptional repressor MraZ	mraZ	WA5_RS10775
WA5_RS09415	WA5_RS09415	1994604	1995293	hypothetical protein	WA5_RS09415	WA5_RS09415
WA5_RS08245	WA5_RS08245	1752611	1754893	bifunctional (p)ppGpp synthetase/guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase	WA5_RS08255 // WA5_RS08250 // WA5_RS08245	WA5_RS08255 // WA5_RS08250 // WA5_RS08245
WA5_RS07850	WA5_RS07850	1662626	1663582	protoheme IX farnesyltransferase	WA5_RS07850	WA5_RS07850
sigE	WA5_RS05580	1165745	1166386	RNA polymerase sigma factor SigE	sigE	WA5_RS05580
ctaD	WA5_RS12595	2671060	2672814	cytochrome c oxidase subunit I	nrdF // ctaD // serB	nrdF // ctaD // serB
WA5_RS00050	WA5_RS00050	11260	11523	hypothetical protein	WA5_RS00055 // WA5_RS00050	WA5_RS00055 // WA5_RS00050
WA5_RS07320	WA5_RS07320	1543150	1544553	NAD(P)/FAD-dependent oxidoreductase	WA5_RS07320	WA5_RS07320
WA5_RS02860	WA5_RS02860	580433	580891	GNAT family N-acetyltransferase	WA5_RS02865 // WA5_RS02860	WA5_RS02865 // WA5_RS02860
WA5_RS05585	WA5_RS05585	1166575	1167069	hypothetical protein	tatB // WA5_RS05585	tatB // WA5_RS05585
WA5_RS14455	WA5_RS14455	3092339	3093175	Cof-type HAD-IIB family hydrolase	serS // WA5_RS14460 // WA5_RS14455	serS // WA5_RS14460 // WA5_RS14455
WA5_RS00770	WA5_RS00770	158154	158834	LysE family translocator	WA5_RS00785 // WA5_RS00780 // WA5_RS00775 // WA5_RS00770 // WA5_RS00765	WA5_RS00785 // WA5_RS00780 // WA5_RS00775 // WA5_RS00770 // WA5_RS00765
WA5_RS04040	WA5_RS04040	849322	850242	iron-siderophore ABC transporter substrate-binding protein	WA5_RS04040 // WA5_RS04035	WA5_RS04040 // WA5_RS04035
WA5_RS02000	WA5_RS02000	410707	412548	HtaA domain-containing protein	WA5_RS02015 // WA5_RS02010 // WA5_RS02005 // WA5_RS02000	WA5_RS02015 // WA5_RS02010 // WA5_RS02005 // WA5_RS02000
WA5_RS09990	WA5_RS09990	2119138	2119497	hypothetical protein	WA5_RS09990	WA5_RS09990
WA5_RS07325	WA5_RS07325	1544975	1546291	class I SAM-dependent methyltransferase	WA5_RS07325	WA5_RS07325
WA5_RS08730	WA5_RS08730	1849038	1849787	hypothetical protein	WA5_RS08735 // WA5_RS08730 // WA5_RS08725 // WA5_RS08720 // WA5_RS08715	WA5_RS08735 // WA5_RS08730 // WA5_RS08725 // WA5_RS08720 // WA5_RS08715
WA5_RS05595	WA5_RS05595	1167583	1168707	Mrp/NBP35 family ATP-binding protein	WA5_RS05605 // WA5_RS05600 // WA5_RS05595	WA5_RS05605 // WA5_RS05600 // WA5_RS05595
nrdF	WA5_RS12600	2673335	2674339	class 1b ribonucleoside-diphosphate reductase subunit beta	nrdF // ctaD // serB	nrdF // ctaD // serB
WA5_RS00055	WA5_RS00055	11520	11768	hypothetical protein	WA5_RS00055 // WA5_RS00050	WA5_RS00055 // WA5_RS00050
WA5_RS07330	WA5_RS07330	1546303	1547691	MHS family MFS transporter	WA5_RS07330	WA5_RS07330
WA5_RS02865	WA5_RS02865	580916	581221	hypothetical protein	WA5_RS02865 // WA5_RS02860	WA5_RS02865 // WA5_RS02860
WA5_RS14460	WA5_RS14460	3093172	3094050	1-acyl-sn-glycerol-3-phosphate acyltransferase	serS // WA5_RS14460 // WA5_RS14455	serS // WA5_RS14460 // WA5_RS14455
tatB	WA5_RS05590	1167109	1167579	Sec-independent protein translocase subunit TatB	tatB // WA5_RS05585	tatB // WA5_RS05585
WA5_RS10440	WA5_RS10440	2216490	2217590	histidinol-phosphate transaminase	hisD // WA5_RS10440 // hisB // WA5_RS10430	hisD // WA5_RS10440 // hisB // WA5_RS10430
WA5_RS13900	WA5_RS13900	2963195	2963596	DUF4265 domain-containing protein	clpB // WA5_RS13900	clpB // WA5_RS13900
WA5_RS07335	WA5_RS07335	1547963	1548439	phosphoribosyltransferase	WA5_RS07335	WA5_RS07335
WA5_RS11535	WA5_RS11535	2455449	2455706	hypothetical protein	WA5_RS11540 // WA5_RS11535	WA5_RS11540 // WA5_RS11535
WA5_RS10780	WA5_RS10780	2296505	2296898	DUF3040 domain-containing protein	WA5_RS10780	WA5_RS10780
WA5_RS07855	WA5_RS07855	1664411	1666504	transketolase	pgl // WA5_RS07870 // WA5_RS07865 // tal // WA5_RS07855	pgl // WA5_RS07870 // WA5_RS07865 // tal // WA5_RS07855
WA5_RS12605	WA5_RS12605	2674804	2675292	ferritin	WA5_RS12605	WA5_RS12605
gyrA	WA5_RS00060	11831	14401	DNA gyrase subunit A	WA5_RS00065 // gyrA	WA5_RS00065 // gyrA
WA5_RS07340	WA5_RS07340	1548779	1549351	manganese efflux pump MntP family protein	WA5_RS07340	WA5_RS07340
eccB	WA5_RS02870	581406	582665	type VII secretion protein EccB	WA5_RS02875 // eccB	WA5_RS02875 // eccB
WA5_RS01405	WA5_RS01405	281401	282927	monovalent cation/H+ antiporter subunit D family protein	WA5_RS01415 // WA5_RS01410 // WA5_RS01405 // WA5_RS16375 // WA5_RS16370 // WA5_RS01390	WA5_RS01415 // WA5_RS01410 // WA5_RS01405 // WA5_RS16375 // WA5_RS16370 // WA5_RS01390
serS	WA5_RS14465	3094075	3095343	serine--tRNA ligase	serS // WA5_RS14460 // WA5_RS14455	serS // WA5_RS14460 // WA5_RS14455
WA5_RS00775	WA5_RS00775	158869	159162	RNA-binding S4 domain-containing protein	WA5_RS00785 // WA5_RS00780 // WA5_RS00775 // WA5_RS00770 // WA5_RS00765	WA5_RS00785 // WA5_RS00780 // WA5_RS00775 // WA5_RS00770 // WA5_RS00765
WA5_RS04050	WA5_RS04050	851350	852366	ABC transporter substrate-binding protein	WA5_RS04050	WA5_RS04050
WA5_RS02005	WA5_RS02005	412557	413636	hemin ABC transporter substrate-binding protein	WA5_RS02015 // WA5_RS02010 // WA5_RS02005 // WA5_RS02000	WA5_RS02015 // WA5_RS02010 // WA5_RS02005 // WA5_RS02000
WA5_RS09995	WA5_RS09995	2119627	2120358	hypothetical protein	WA5_RS09995	WA5_RS09995
WA5_RS07345	WA5_RS07345	1549402	1550400	arsenic resistance protein	WA5_RS07345	WA5_RS07345
WA5_RS11710	WA5_RS11710	2492498	2493154	nicotinate-nucleotide adenylyltransferase	WA5_RS11710	WA5_RS11710
WA5_RS12610	WA5_RS12610	2675491	2676243	FadR family transcriptional regulator	WA5_RS12610	WA5_RS12610
WA5_RS07350	WA5_RS07350	1550468	1550953	hypothetical protein	WA5_RS07350	WA5_RS07350
WA5_RS00065	WA5_RS00065	14405	14749	DUF3566 domain-containing protein	WA5_RS00065 // gyrA	WA5_RS00065 // gyrA
WA5_RS02875	WA5_RS02875	582684	584231	FAD-binding oxidoreductase	WA5_RS02875 // eccB	WA5_RS02875 // eccB
WA5_RS03245	WA5_RS03245	662027	662377	DUF3017 domain-containing protein	WA5_RS03245 // WA5_RS03240	WA5_RS03245 // WA5_RS03240
WA5_RS14470	WA5_RS14470	3095490	3096290	GntR family transcriptional regulator	WA5_RS14480 // WA5_RS14475 // WA5_RS14470	WA5_RS14480 // WA5_RS14475 // WA5_RS14470
WA5_RS05600	WA5_RS05600	1168743	1169324	DUF1003 domain-containing protein	WA5_RS05605 // WA5_RS05600 // WA5_RS05595	WA5_RS05605 // WA5_RS05600 // WA5_RS05595
WA5_RS04055	WA5_RS04055	852617	853618	ABC transporter permease	WA5_RS04065 // WA5_RS04060 // WA5_RS04055	WA5_RS04065 // WA5_RS04060 // WA5_RS04055
WA5_RS09110	WA5_RS09110	1941106	1941552	hypothetical protein	WA5_RS09110	WA5_RS09110
WA5_RS07355	WA5_RS07355	1551574	1552239	DNA alkylation repair protein	WA5_RS07355	WA5_RS07355
dnaK	WA5_RS14005	2984541	2986397	molecular chaperone DnaK	dnaK // grpE	dnaK // grpE
WA5_RS09420	WA5_RS09420	1995779	1996084	anion permease	WA5_RS09420	WA5_RS09420
WA5_RS08255	WA5_RS08255	1755482	1757083	peptide ABC transporter	WA5_RS08255 // WA5_RS08250 // WA5_RS08245	WA5_RS08255 // WA5_RS08250 // WA5_RS08245
tal	WA5_RS07860	1666672	1667754	transaldolase	pgl // WA5_RS07870 // WA5_RS07865 // tal // WA5_RS07855	pgl // WA5_RS07870 // WA5_RS07865 // tal // WA5_RS07855
WA5_RS00080	WA5_RS00080	15206	16243	YeiH family putative sulfate export transporter	WA5_RS00080	WA5_RS00080
WA5_RS07360	WA5_RS07360	1552457	1553974	SulP family inorganic anion transporter	WA5_RS07360	WA5_RS07360
WA5_RS05605	WA5_RS05605	1169317	1170609	magnesium transporter	WA5_RS05605 // WA5_RS05600 // WA5_RS05595	WA5_RS05605 // WA5_RS05600 // WA5_RS05595
WA5_RS02880	WA5_RS02880	584316	585623	class I SAM-dependent methyltransferase	WA5_RS02880	WA5_RS02880
WA5_RS01410	WA5_RS01410	282934	283317	cation:proton antiporter subunit C	WA5_RS01415 // WA5_RS01410 // WA5_RS01405 // WA5_RS16375 // WA5_RS16370 // WA5_RS01390	WA5_RS01415 // WA5_RS01410 // WA5_RS01405 // WA5_RS16375 // WA5_RS16370 // WA5_RS01390
WA5_RS14475	WA5_RS14475	3096326	3097426	septum formation family protein	WA5_RS14480 // WA5_RS14475 // WA5_RS14470	WA5_RS14480 // WA5_RS14475 // WA5_RS14470
WA5_RS00780	WA5_RS00780	159162	160016	VOC family protein	WA5_RS00785 // WA5_RS00780 // WA5_RS00775 // WA5_RS00770 // WA5_RS00765	WA5_RS00785 // WA5_RS00780 // WA5_RS00775 // WA5_RS00770 // WA5_RS00765
WA5_RS04060	WA5_RS04060	853611	854726	iron chelate uptake ABC transporter family permease subunit	WA5_RS04065 // WA5_RS04060 // WA5_RS04055	WA5_RS04065 // WA5_RS04060 // WA5_RS04055
WA5_RS02010	WA5_RS02010	413637	414713	iron ABC transporter permease	WA5_RS02015 // WA5_RS02010 // WA5_RS02005 // WA5_RS02000	WA5_RS02015 // WA5_RS02010 // WA5_RS02005 // WA5_RS02000
map	WA5_RS10000	2120355	2121230	type I methionyl aminopeptidase	map	WA5_RS10000
WA5_RS07365	WA5_RS07365	1554066	1554683	hypothetical protein	WA5_RS07365	WA5_RS07365
metF	WA5_RS10795	2298448	2299428	methylenetetrahydrofolate reductase [NAD(P)H]	metF	WA5_RS10795
WA5_RS05610	WA5_RS05610	1170692	1171189	magnesium transporter	WA5_RS05615 // WA5_RS05610	WA5_RS05615 // WA5_RS05610
rplM	WA5_RS02920	594939	595382	50S ribosomal protein L13	rpsI // rplM	rpsI // rplM
WA5_RS12620	WA5_RS12620	2676915	2677193	hypothetical protein	WA5_RS12620 // WA5_RS12615	WA5_RS12620 // WA5_RS12615
WA5_RS08580	WA5_RS08580	1812880	1813608	hypothetical protein	WA5_RS08580	WA5_RS08580
WA5_RS07370	WA5_RS07370	1554887	1555078	hypothetical protein	WA5_RS16225 // WA5_RS07375 // WA5_RS07370	WA5_RS16225 // WA5_RS07375 // WA5_RS07370
WA5_RS00085	WA5_RS00085	16314	17210	LysR family transcriptional regulator	WA5_RS00085	WA5_RS00085
WA5_RS05615	WA5_RS05615	1171205	1171873	hypothetical protein	WA5_RS05615 // WA5_RS05610	WA5_RS05615 // WA5_RS05610
WA5_RS02885	WA5_RS02885	585823	586251	TIGR02611 family protein	WA5_RS02885	WA5_RS02885
WA5_RS14480	WA5_RS14480	3097423	3097767	metallopeptidase family protein	WA5_RS14480 // WA5_RS14475 // WA5_RS14470	WA5_RS14480 // WA5_RS14475 // WA5_RS14470
WA5_RS13395	WA5_RS13395	2841075	2841851	acetoin reductase	WA5_RS13395	WA5_RS13395
WA5_RS04065	WA5_RS04065	854723	855478	ABC transporter ATP-binding protein	WA5_RS04065 // WA5_RS04060 // WA5_RS04055	WA5_RS04065 // WA5_RS04060 // WA5_RS04055
WA5_RS05150	WA5_RS05150	1087040	1087543	GNAT family N-acetyltransferase	WA5_RS05150	WA5_RS05150
WA5_RS07375	WA5_RS07375	1555082	1555834	polyisoprenoid-binding protein	WA5_RS16225 // WA5_RS07375 // WA5_RS07370	WA5_RS16225 // WA5_RS07375 // WA5_RS07370
WA5_RS10800	WA5_RS10800	2299539	2300639	polyprenyl synthetase family protein	WA5_RS10805 // WA5_RS10800	WA5_RS10805 // WA5_RS10800
WA5_RS05620	WA5_RS05620	1171865	1172398	CueP family metal-binding protein	WA5_RS05620	WA5_RS05620
WA5_RS09515	WA5_RS09515	2010632	2011384	ROK family protein	WA5_RS09515	WA5_RS09515
secF	WA5_RS08260	1757585	1758796	protein translocase subunit SecF	secD // secF	secD // secF
WA5_RS07865	WA5_RS07865	1667859	1669403	glucose-6-phosphate dehydrogenase	pgl // WA5_RS07870 // WA5_RS07865 // tal // WA5_RS07855	pgl // WA5_RS07870 // WA5_RS07865 // tal // WA5_RS07855
serC	WA5_RS04155	875981	877111	phosphoserine transaminase	serC	WA5_RS04155
WA5_RS16225	WA5_RS16225	1555834	1556172	hypothetical protein	WA5_RS16225 // WA5_RS07375 // WA5_RS07370	WA5_RS16225 // WA5_RS07375 // WA5_RS07370
WA5_RS00090	WA5_RS00090	17260	17673	SMI1/KNR4 family protein	WA5_RS00090	WA5_RS00090
WA5_RS05625	WA5_RS05625	1172497	1176162	multifunctional oxoglutarate decarboxylase/oxoglutarate dehydrogenase thiamine pyrophosphate-binding subunit/dihydrolipoyllysine-residue succinyltransferase subunit	WA5_RS05625	WA5_RS05625
mycP	WA5_RS02890	586396	587640	type VII secretion-associated serine protease mycosin	eccD // mycP	eccD // mycP
WA5_RS14490	WA5_RS14490	3097901	3098572	histidine phosphatase family protein	pheA // WA5_RS14490	pheA // WA5_RS14490
WA5_RS01415	WA5_RS01415	283314	286208	DUF4040 family protein	WA5_RS01415 // WA5_RS01410 // WA5_RS01405 // WA5_RS16375 // WA5_RS16370 // WA5_RS01390	WA5_RS01415 // WA5_RS01410 // WA5_RS01405 // WA5_RS16375 // WA5_RS16370 // WA5_RS01390
WA5_RS00785	WA5_RS00785	160029	160373	MGMT family protein	WA5_RS00785 // WA5_RS00780 // WA5_RS00775 // WA5_RS00770 // WA5_RS00765	WA5_RS00785 // WA5_RS00780 // WA5_RS00775 // WA5_RS00770 // WA5_RS00765
WA5_RS04085	WA5_RS04085	861591	862754	pyridoxal phosphate-dependent aminotransferase	WA5_RS04085	WA5_RS04085
WA5_RS02015	WA5_RS02015	414714	415529	heme ABC transporter ATP-binding protein	WA5_RS02015 // WA5_RS02010 // WA5_RS02005 // WA5_RS02000	WA5_RS02015 // WA5_RS02010 // WA5_RS02005 // WA5_RS02000
WA5_RS10005	WA5_RS10005	2121292	2123133	cell division protein FtsI	WA5_RS10005	WA5_RS10005
WA5_RS07385	WA5_RS07385	1556375	1556773	RNA polymerase-binding protein RbpA	WA5_RS07385	WA5_RS07385
WA5_RS10805	WA5_RS10805	2300649	2302178	alpha-(1->6)-mannopyranosyltransferase A	WA5_RS10805 // WA5_RS10800	WA5_RS10805 // WA5_RS10800
WA5_RS05630	WA5_RS05630	1176304	1180047	ABC transporter ATP-binding protein	WA5_RS05630	WA5_RS05630
nrdI	WA5_RS12630	2679681	2680127	class Ib ribonucleoside-diphosphate reductase assembly flavoprotein NrdI	nrdH // nrdI // nrdE	nrdH // nrdI // nrdE
WA5_RS07390	WA5_RS07390	1557010	1557822	polyprenol monophosphomannose synthase	WA5_RS07400 // lnt // WA5_RS07390	WA5_RS07400 // lnt // WA5_RS07390
WA5_RS00095	WA5_RS00095	17857	18729	cytochrome c biogenesis protein CcdA	WA5_RS00100 // WA5_RS00095	WA5_RS00100 // WA5_RS00095
WA5_RS12545	WA5_RS12545	2660668	2661417	rhomboid family intramembrane serine protease	clpS // WA5_RS12555 // WA5_RS12550 // WA5_RS12545 // WA5_RS12540	clpS // WA5_RS12555 // WA5_RS12550 // WA5_RS12545 // WA5_RS12540
WA5_RS05635	WA5_RS05635	1180117	1180836	hypothetical protein	WA5_RS05640 // WA5_RS05635	WA5_RS05640 // WA5_RS05635
eccD	WA5_RS02895	587642	589024	type VII secretion integral membrane protein EccD	eccD // mycP	eccD // mycP
WA5_RS04090	WA5_RS04090	862749	863390	DUF3239 domain-containing protein	WA5_RS04095 // WA5_RS04090	WA5_RS04095 // WA5_RS04090
pheA	WA5_RS14495	3098575	3099522	prephenate dehydratase	pheA // WA5_RS14490	pheA // WA5_RS14490
WA5_RS09115	WA5_RS09115	1941728	1942429	hypothetical protein	WA5_RS09115	WA5_RS09115
WA5_RS03205	WA5_RS03205	655122	656537	PH domain-containing protein	WA5_RS03210 // WA5_RS03205 // WA5_RS03200	WA5_RS03210 // WA5_RS03205 // WA5_RS03200
